date,strain_index,l2_return_magnitude,graph_total_variation,systemic_ratio,total_persistence,wasserstein_distance
2026-01-02,0.02797152949261222,0.4833064956459756,14.883025072391577,0.7395830515887788,22.813235999999982,3.861339168363847
2026-01-05,0.028295410949629195,0.510350483534798,16.18947160195959,0.7480535665888713,22.41591200000002,4.0113451044872
2026-01-06,0.02881236458749171,0.5595267520157482,18.839649202302155,0.758971236867351,22.418658,4.08251216356412
2026-01-07,0.029808667423926936,0.5200754684659671,16.014502829007903,0.7652747682366078,21.18679000000001,3.7796943959669758
2026-01-08,0.02912122281706557,0.5569610149388868,19.1586354640385,0.7537510055156265,20.034853000000005,3.9998198306199795
2026-01-09,0.024895942441096587,0.46389087648522986,18.038053135269724,0.6764749789570135,21.285099999999996,3.841471940017704
2026-01-12,0.02220276249732152,0.3529084116764244,10.953050690072436,0.6563635323820298,22.41726200000002,4.711635567578152
2026-01-13,0.025233396788196184,0.42403634581608446,14.115851150671093,0.6860286692522368,21.533030000000007,3.9182341093041737
2026-01-14,0.025576000971231874,0.40520539319975357,12.49406425486253,0.6993460453594267,21.51242,4.132312920915273
2026-01-15,0.025667928404144977,0.38183756201273583,11.430915073635715,0.6919889262471594,21.25310499999998,3.834877997875778
2026-01-16,0.024576191385696458,0.3983815837089139,12.856461231404866,0.6806346079479348,21.623382999999997,4.127103948863271
2026-01-20,0.030141665916534183,0.581454611753586,17.71326806167025,0.7962658013642312,18.793097999999983,4.9987370080000275
2026-01-21,0.03223627770861341,0.5556099078652474,15.86814020171932,0.8011850886245199,17.475503000000003,3.953668116793217
2026-01-22,0.025499229821259694,0.4042082881865952,13.658563336846623,0.6731670272920544,17.70392100000001,3.776791214272543
2026-01-23,0.026245362027268276,0.39117093090915067,12.258737270564676,0.6887118349114631,18.53020499999998,3.7013413865005957
