ticker
AAPL
ABBV
ABT
ACN
ADBE
ADI
ADP
ADSK
AEP
AFL
AIG
AMAT
AMD
AMGN
AMP
AMT
AMZN
ANET
AON
APA
APD
APH
AVGO
AXP
AZO
BA
BAC
BAX
BDX
BK
BKNG
BLK
BMY
BRK.B
BSX
C
CAT
CB
CCI
CCL
CDNS
CDW
CEG
CHTR
CI
CL
CLX
CMCSA
CME
CMG
COF
COP
COST
CPB
CRM
CSCO
CSGP
CSX
CTAS
CTSH
CVS
CVX
D
DAL
DD
DE
DHI
DHR
DIS
DLR
DOV
DOW
DTE
DUK
DVN
DXCM
EA
EBAY
ECL
ED
EIX
EL
EMR
ENPH
EOG
EQR
ES
ETN
EW
EXC
EXPE
F
FANG
FAST
FCX
FDX
FIS
FITB
FOX
FOXA
GD
GE
GILD
GIS
GL
GLW
GM
GOOG
GOOGL
GPN
GS
GWW
HAL
HAS
HBAN
HCA
HD
HES
HIG
HII
HLT
HON
HPE
HPQ
HRL
HST
HSY
HUM
IBM
ICE
IDXX
IEX
IFF
ILMN
INTC
INTU
INVH
IP
IPG
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JCI
JKHY
JNJ
JNPR
JPM
K
KDP
KEY
KEYS
KHC
KIM
KLAC
KMB
KMI
KO
KR
L
LDOS
LEN
LH
LHX
LIN
LKQ
LLY
LMT
LNC
LOW
LRCX
LUV
LVS
LYB
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MRO
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
NCLH
NDAQ
NEE
NEM
NFLX
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWL
NWS
NWSA
NXPI
O
ODFL
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PARA
PAYC
PAYX
PCAR
PCG
PEAK
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PM
PNC
PNR
PNW
POOL
PPG
PPL
PRU
PSA
PSX
PTC
PVH
PWR
PYPL
QCOM
QRVO
RCL
REG
REGN
RF
RHI
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
RTX
SBAC
SBUX
SCHW
SEDG
SEE
SHW
SJM
SLB
SNA
SNPS
SO
SPG
SPGI
SRE
STE
STLD
STT
STX
STZ
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TDY
TECH
TEL
TER
TFC
TFX
TGT
TJX
TMO
TMUS
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTWO
TXN
TXT
TYL
UAL
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
V
VFC
VICI
VLO
VMC
VRSK
VRSN
VRTX
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WDAY
WDC
WEC
WELL
WFC
WHR
WM
WMB
WMT
WRB
WRK
WST
WTW
WY
WYNN
XEL
XOM
XRAY
XYL
YUM
ZBH
ZBRA
ZION
ZTS
